Item Name,Item ID,Item meta,Has NBT,Display Name
minecraft:stone,1,0,false,Камень
minecraft:grass,2,0,false,Блок травы
minecraft:dirt,3,0,false,Земля
minecraft:dirt,3,2,false,Подзол
minecraft:cobblestone,4,0,false,Булыжник
minecraft:planks,5,0,false,Дубовые доски
minecraft:planks,5,1,false,Еловые доски
minecraft:planks,5,2,false,Берёзовые доски
minecraft:planks,5,3,false,Доски из тропического дерева
minecraft:planks,5,4,false,Доски из акации
minecraft:planks,5,5,false,Доски из тёмного дуба
minecraft:sapling,6,0,false,Саженец дуба
minecraft:sapling,6,1,false,Саженец ели
minecraft:sapling,6,2,false,Саженец берёзы
minecraft:sapling,6,3,false,Саженец тропического дерева
minecraft:sapling,6,4,false,Саженец акации
minecraft:sapling,6,5,false,Саженец тёмного дуба
minecraft:bedrock,7,0,false,Коренная порода
minecraft:sand,12,0,false,Песок
minecraft:sand,12,1,false,Красный песок
minecraft:sandstone,24,0,false,Песчаник
minecraft:sandstone,24,1,false,Резной песчаник
minecraft:sandstone,24,2,false,Гладкий песчаник
minecraft:sandstone_stairs,128,0,false,Ступеньки из песчаника
minecraft:gravel,13,0,false,Гравий
minecraft:gold_ore,14,0,false,Золотая руда
minecraft:iron_ore,15,0,false,Железная руда
minecraft:coal_ore,16,0,false,Угольная руда
minecraft:log,17,0,false,Дуб
minecraft:log,17,1,false,Ель
minecraft:log,17,2,false,Берёза
minecraft:log,17,3,false,Тропическое дерево
minecraft:leaves,18,0,false,Дубовые листья
minecraft:leaves,18,1,false,Хвоя
minecraft:leaves,18,2,false,Берёзовые листья
minecraft:leaves,18,3,false,Листья тропического дерева
minecraft:leaves2,161,0,false,Листья акации
minecraft:leaves2,161,1,false,Листья тёмного дуба
minecraft:sponge,19,0,false,Губка
minecraft:glass,20,0,false,Стекло
minecraft:lapis_ore,21,0,false,Лазуритовая руда
minecraft:lapis_block,22,0,false,Лазуритный блок
minecraft:dispenser,23,0,false,Раздатчик
minecraft:noteblock,25,0,false,Нотный блок
minecraft:golden_rail,27,0,false,Электрические рельсы
minecraft:detector_rail,28,0,false,Рельсы с датчиком
minecraft:sticky_piston,29,0,false,Липкий поршень
minecraft:web,30,0,false,Паутина
minecraft:tallgrass,31,1,false,Высокая трава
minecraft:tallgrass,31,2,false,Папоротник
minecraft:deadbush,32,0,false,Мёртвый куст
minecraft:piston,33,0,false,Поршень
minecraft:wool,35,0,false,Шерсть
